Product Code,Product Name,Description,Key Features Count,Coverage Count,Premium Ages,Age Min,Age Max,Terms Length,Page Title,Scraped At,URL
ON_PD_KC_01,음성 검색,,0,0,0,,,0,KB 착한암보험 무배당 > 온라인보험 | KB라이프 생명,2026-03-27T16:34:23.739612,https://www.kblife.co.kr/insurance-product/productDetails.do?linkCd=ON_PD_KC_01&productType=5
ON_PD_YG_01,음성 검색,,0,0,0,20,64,0,KB 딱좋은 e-건강보험 무배당(갱신형)(일반심사형)(해약환급금 미지급형) > 온라인보험 | KB라이프 생명,2026-03-27T16:37:42.272625,https://www.kblife.co.kr/insurance-product/productDetails.do?linkCd=ON_PD_YG_01&productType=5
ON_PD_YT_01,음성 검색,,0,0,0,20,64,0,KB 딱좋은 e-건강보험 무배당(갱신형)(간편심사형(355))(해약환급금 미지급형) > 온라인보험 | KB라이프 생명,2026-03-27T16:41:00.826905,https://www.kblife.co.kr/insurance-product/productDetails.do?linkCd=ON_PD_YT_01&productType=5
ON_PD_SR_01,음성 검색,,0,0,0,,,0,KB 착한정기보험II 무배당 > 온라인보험 | KB라이프 생명,2026-03-27T16:44:11.623572,https://www.kblife.co.kr/insurance-product/productDetails.do?linkCd=ON_PD_SR_01&productType=5
ON_PD_NP_01,음성 검색,,0,0,0,,,0,KB 하이파이브평생연금보험 무배당 > 온라인보험 | KB라이프 생명,2026-03-27T16:47:23.101655,https://www.kblife.co.kr/insurance-product/productDetails.do?linkCd=ON_PD_NP_01&productType=5
